,text,sentiment
0,two places invest all my money if could printing and self driving cars,5
1,awesome google driverless cars will help the blind travel more often,5
2,if google maps can not keep up with road construction how am supposed to trust driverless car to get around here,2
3,autonomous cars seem way overhyped given the technology challenges pilotless planes seem much more doable and needed,2
4,just saw google self driving car on it was painted green and blue,3
5,will driverless cars eventually replace taxi drivers in cities,3
6,chicago metro expected to be fully autonomous by,not_relevant
7,love the infotainment system in my new car this thing can almost drive itself,not_relevant
8,autonomous vehicles could reduce traffic fatalities by in,5
9,driverless cars are not worth the risk do not want to be on the highway when the server crashes sadmacface bluescreenofdeath,1
10,driverless cars are now legal in florida california and michigan,3
11,audi is the first carmaker to get license from nevada dmv to test automated vehicles audi ces cartech,3
12,audi says first car manufacturer in the world to get license from nevada dmv to test autonomous vehicles google does not make cars ces,3
13,the future so buying one of these audi is ready to test autonomous cars on public roads ces ces,4
14,audi is test driving their driverless car in tampa today pretty cool,4
15,audi to be first automaker in california to test self driving car selfdrivingcars,3
16,audi gets first permit to test self driving cars on california roads,3
17,audi gets permit to test self driving cars in california,3
18,google audi mercedes get california first self driving car test permits cars without drivers may soon be,3
19,audi gets first permit to test driverless cars in california some bay area drag queens say they are,3
20,today state regs for autonomous cars go into effect audi of america gets st permit to test driverless cars on public roads per,3
21,audi gets first permit to test self driving cars in california think twice next time you tailgate that new audi,3
22,audi gets first permit to test driverless cars in california some bay area drag queens say they are,3
23,audi gets permit to test self driving cars in california,3
24,audi becomes first automaker given permit to test self driving cars,3
25,audi snags first permit to test self driving cars in california los angeles cbs ap audi is the first,3
26,here we go gets first permit to test self driving cars on california roads tech auto,3
27,agv automated guided vehicle trapac dock,3
28,agv automated guided vehicle trapac dock,3
29,agv automated guided vehicle trapac dock,3
30,come join us at the sae on road automated vehicle standards committee open meeting,not_relevant
31,at the sae on road automated vehicle standards committee open meeting,3
32,not possible for blind people to drive an automated vehicle that requires intervention during failure need automation for that autoauto,3
33,transportation becoming service model if oems are responsible for automated vehicle control they might as well own it autoauto,3
34,really good presentation from jan becker on bosch automated vehicle research autoauto check it out,5
35,automated vehicle vs connected vehicle mittrsummit,3
36,wo automated vehicle conveyance apparatus transportation system,3
37,how is an automated vehicle supposed to behave in an emergency autoauto,3
38,experiencebosch my first ride on the automated vehicle is so surreal staring at the analysis we,3
39,chris urmson director of self driving cars at google speaking at automated vehicle symposium,3
40,how is an automated vehicle supposed to behave in an emergency autoauto,3
41,annarbor is home to ongoing experiment talking cars automated vehicle test site groundbreaking today,3
42,thank the gods for automated vehicle condition evaluation kits,not_relevant
43,wo collaborative vehicle control using both human operator and automated controller,3
44,wow google goes commercial company teams with continental for automated vehicle systems,3
45,blogged automated vehicles and the motor vehicle code,3
46,california new automated vehicle regulations smartly do not define the operator of automated vehicles new term is designee,3
47,last year google warned it would have an automated vehicle commercialized product in the not too distant future,3
48,video sensors on fusion hybrid automated research vehicle,3
49,ford just revealed it automated ford fusion hybrid vehicle pretty amazing fordtrends ford test,5
50,here the fusion automated hybrid research vehicle and those are light sensors on the roof,3
51,at itswc in detroit gm announces new automated and connected vehicle technologies for cadillac models,3
52,gm announces new automated and connected vehicle technologies for cadillac models adillac model year,3
53,dematic introduces pallet delivery automated guided vehicle system kit grand rapids dematic supplier of,3
54,gm announces new automated and connected vehicle technologies for cadillac models adillac model year,3
55,fully automated vehicle enabled with ibmcloud at ibmpulse,3
56,the lexus automated research vehicle ces cartech,3
57,yeah the only reason to have an automated vehicle is so you can drink in it duh,3
58,treatstrails rt light in motion car fully automated electric vehicle,3
59,boarded for the automated vehicle symposium use autoauto for conference related tweets,3
